year,state,state_po,GDP,Bachelor's Degree Attainment,Rep/Dem
2016,ALABAMA,AL,40598,25.5,1
2016,ALASKA,AK,71996,30.2,1
2016,ARIZONA,AZ,43464,29.7,1
2016,ARKANSAS,AR,38919,23.3,1
2016,CALIFORNIA,CA,68803,34.2,0
2016,COLORADO,CO,59885,41.7,0
2016,CONNECTICUT,CT,68555,39.6,0
2016,DELAWARE,DE,64895,31.3,0
2016,DISTRICT OF COLUMBIA,DC,43423,30.4,0
2016,FLORIDA,FL,50288,31.9,1
2016,GEORGIA,GA,58185,33.5,1
2016,HAWAII,HI,40189,27.7,0
2016,IDAHO,ID,60419,35.1,1
2016,ILLINOIS,IL,49209,27.1,0
2016,INDIANA,IN,54520,29,1
2016,IOWA,IA,53094,33.8,1
2016,KANSAS,KS,41898,24.8,1
2016,KENTUCKY,KY,50938,24.3,1
2016,LOUISIANA,LA,42925,31.5,1
2016,MAINE,ME,61042,40.8,0
2016,MARYLAND,MD,73321,44.5,0
2016,MASSACHUSETTS,MA,47072,29.6,0
2016,MICHIGAN,MI,59510,36.7,1
2016,MINNESOTA,MN,34434,23.2,0
2016,MISSISSIPPI,MS,46507,29.5,1
2016,MISSOURI,MO,43509,31.7,1
2016,MONTANA,MT,59178,32.4,1
2016,NEBRASKA,NE,49361,24.9,1
2016,NEVADA,NV,55905,36.8,0
2016,NEW HAMPSHIRE,NH,62385,40.8,0
2016,NEW JERSEY,NJ,44671,27.7,0
2016,NEW MEXICO,NM,73463,37.2,0
2016,NEW YORK,NY,47896,31.9,0
2016,NORTH CAROLINA,NC,69563,29.7,1
2016,NORTH DAKOTA,ND,51790,29,1
2016,OHIO,OH,49840,25.6,1
2016,OKLAHOMA,OK,51677,34,1
2016,OREGON,OR,55580,31.8,0
2016,PENNSYLVANIA,PA,50718,34.4,1
2016,RHODE ISLAND,RI,40755,28.3,0
2016,SOUTH CAROLINA,SC,52696,29.2,1
2016,SOUTH DAKOTA,SD,47810,27.5,1
2016,TENNESSEE,TN,59674,30.3,1
2016,TEXAS,TX,50236,34.9,1
2016,UTAH,UT,47502,38.7,1
2016,VERMONT,VT,56002,39.3,0
2016,VIRGINIA,VA,67901,36.7,0
2016,WASHINGTON,WA,176498,60.4,0
2016,WEST VIRGINIA,WV,39584,21.3,1
2016,WISCONSIN,WI,51883,30,1
2016,WYOMING,WY,65843,26.9,1
2020,ALABAMA,AL,40598,25.5,1
2020,ALASKA,AK,71996,30.2,1
2020,ARIZONA,AZ,43464,29.7,0
2020,ARKANSAS,AR,38919,23.3,1
2020,CALIFORNIA,CA,68803,34.2,0
2020,COLORADO,CO,59885,41.7,0
2020,CONNECTICUT,CT,68555,39.6,0
2020,DELAWARE,DE,64895,31.3,0
2020,DISTRICT OF COLUMBIA,DC,43423,30.4,0
2020,FLORIDA,FL,50288,31.9,1
2020,GEORGIA,GA,58185,33.5,0
2020,HAWAII,HI,40189,27.7,0
2020,IDAHO,ID,60419,35.1,1
2020,ILLINOIS,IL,49209,27.1,0
2020,INDIANA,IN,54520,29,1
2020,IOWA,IA,53094,33.8,1
2020,KANSAS,KS,41898,24.8,1
2020,KENTUCKY,KY,50938,24.3,1
2020,LOUISIANA,LA,42925,31.5,1
2020,MAINE,ME,61042,40.8,0
2020,MARYLAND,MD,73321,44.5,0
2020,MASSACHUSETTS,MA,47072,29.6,0
2020,MICHIGAN,MI,59510,36.7,0
2020,MINNESOTA,MN,34434,23.2,0
2020,MISSISSIPPI,MS,46507,29.5,1
2020,MISSOURI,MO,43509,31.7,1
2020,MONTANA,MT,59178,32.4,1
2020,NEBRASKA,NE,49361,24.9,1
2020,NEVADA,NV,55905,36.8,0
2020,NEW HAMPSHIRE,NH,62385,40.8,0
2020,NEW JERSEY,NJ,44671,27.7,0
2020,NEW MEXICO,NM,73463,37.2,0
2020,NEW YORK,NY,47896,31.9,0
2020,NORTH CAROLINA,NC,69563,29.7,1
2020,NORTH DAKOTA,ND,51790,29,1
2020,OHIO,OH,49840,25.6,1
2020,OKLAHOMA,OK,51677,34,1
2020,OREGON,OR,55580,31.8,0
2020,PENNSYLVANIA,PA,50718,34.4,0
2020,RHODE ISLAND,RI,40755,28.3,0
2020,SOUTH CAROLINA,SC,52696,29.2,1
2020,SOUTH DAKOTA,SD,47810,27.5,1
2020,TENNESSEE,TN,59674,30.3,1
2020,TEXAS,TX,50236,34.9,1
2020,UTAH,UT,47502,38.7,1
2020,VERMONT,VT,56002,39.3,0
2020,VIRGINIA,VA,67901,36.7,0
2020,WASHINGTON,WA,176498,60.4,0
2020,WEST VIRGINIA,WV,39584,21.3,1
2020,WISCONSIN,WI,51883,30,0
2020,WYOMING,WY,65843,26.9,1
