year,state,DEMOCRAT_VOTES,LIBERTARIAN_VOTES,OTHER_VOTES,REPUBLICAN_VOTES,Winning_Party
1996,ALABAMA,662165,5290,97850,769044,REPUBLICAN
1996,ALASKA,80380,2276,36218,122746,REPUBLICAN
1996,ARIZONA,653288,14358,114686,622073,DEMOCRAT
1996,ARKANSAS,475171,3076,80599,325416,DEMOCRAT
1996,CALIFORNIA,5119835,73600,997653,3828381,DEMOCRAT
1996,COLORADO,671152,12392,135310,691848,REPUBLICAN
1996,CONNECTICUT,735740,5788,167977,483109,DEMOCRAT
1996,DELAWARE,140355,2052,29341,99062,DEMOCRAT
1996,DISTRICT OF COLUMBIA,158220,588,9579,17339,DEMOCRAT
1996,FLORIDA,2546870,23326,488422,2244536,DEMOCRAT
1996,GEORGIA,1053849,17870,146337,1080843,REPUBLICAN
1996,HAWAII,205012,2493,38672,113943,DEMOCRAT
1996,IDAHO,165443,3325,66348,256595,REPUBLICAN
1996,ILLINOIS,2341744,22548,360078,1587021,DEMOCRAT
1996,INDIANA,887424,15632,225682,1006693,REPUBLICAN
1996,IOWA,620258,2315,118858,492644,DEMOCRAT
1996,KANSAS,387659,4557,98839,583245,REPUBLICAN
1996,KENTUCKY,636614,4009,124802,623283,DEMOCRAT
1996,LOUISIANA,927837,7499,136037,712586,DEMOCRAT
1996,MAINE,312788,2996,103735,186378,DEMOCRAT
1996,MARYLAND,966207,8765,124368,681530,DEMOCRAT
1996,MASSACHUSETTS,1571509,20424,246468,718058,DEMOCRAT
1996,MICHIGAN,1989653,27670,350309,1481212,DEMOCRAT
1996,MINNESOTA,1120380,8271,297446,766395,DEMOCRAT
1996,MISSISSIPPI,394022,2809,57188,439838,REPUBLICAN
1996,MISSOURI,1025935,10522,231592,890016,DEMOCRAT
1996,MONTANA,167922,2526,56983,179652,REPUBLICAN
1996,NEBRASKA,236761,2792,74395,363467,REPUBLICAN
1996,NEVADA,203974,4460,56601,199244,DEMOCRAT
1996,NEW HAMPSHIRE,246166,4214,49731,196486,DEMOCRAT
1996,NEW JERSEY,1652361,,320400,1103099,DEMOCRAT
1996,NEW MEXICO,273495,2996,46832,232751,DEMOCRAT
1996,NEW YORK,3649630,12220,1038572,1738707,DEMOCRAT
1996,NORTH CAROLINA,1107849,8740,173280,1225938,REPUBLICAN
1996,NORTH DAKOTA,106905,847,33609,125050,REPUBLICAN
1996,OHIO,2148222,12851,513478,1859883,DEMOCRAT
1996,OKLAHOMA,488105,5505,130788,582315,REPUBLICAN
1996,OREGON,649641,8903,181064,538152,DEMOCRAT
1996,PENNSYLVANIA,2215819,28000,456319,1801169,DEMOCRAT
1996,RHODE ISLAND,233050,1109,51405,104683,DEMOCRAT
1996,SOUTH CAROLINA,506152,4271,66420,573339,REPUBLICAN
1996,SOUTH DAKOTA,139333,1472,32478,150543,REPUBLICAN
1996,TENNESSEE,909146,,121429,863530,DEMOCRAT
1996,TEXAS,2459683,20256,395538,2736167,REPUBLICAN
1996,UTAH,221633,4129,77956,361911,REPUBLICAN
1996,VERMONT,137894,1183,39020,80352,DEMOCRAT
1996,VIRGINIA,1091060,9174,178058,1138350,REPUBLICAN
1996,WASHINGTON,1123323,12522,277280,840712,DEMOCRAT
1996,WEST VIRGINIA,327812,3062,71639,233946,DEMOCRAT
1996,WISCONSIN,1071971,7929,271240,845029,DEMOCRAT
1996,WYOMING,77934,1739,26510,105388,REPUBLICAN
2000,ALABAMA,692611,5893,26595,941173,REPUBLICAN
2000,ALASKA,79004,2636,36522,167398,REPUBLICAN
2000,ARIZONA,685341,5775,59248,781652,REPUBLICAN
2000,ARKANSAS,422768,2781,23292,472940,REPUBLICAN
2000,CALIFORNIA,5861203,45520,491670,4567429,DEMOCRAT
2000,COLORADO,738227,12799,106594,883748,REPUBLICAN
2000,CONNECTICUT,816015,3484,78932,561094,DEMOCRAT
2000,DELAWARE,180068,774,9399,137288,DEMOCRAT
2000,DISTRICT OF COLUMBIA,171923,669,11229,18073,DEMOCRAT
