STATE,PCT_WHITE,PCT_BLACK,PCT_HISPANIC,REGION,PAST_5_ELECTION_VOTING,OUTCOME_2020,PREVIOUS_SENATE_OUTCOME,TOTAL_POPULATION,TOT_DEGREES,DEGREES_PER_CAPITA,UNEMPLOYMENT,PCT_OVER_60,GDP_MILLIONS,GDP_PER_CAPITA
Alabama,0.682357012,0.270320463,0.055572576,South,1,1,1,5090317.888,370356.0238,0.072756954,6.499536232,0.250761585,251285.9152,0.049365466
Alaska,0.636880927,0.036990087,0.082088384,West,1,1,1,791517.7812,70271.07143,0.088780155,6.768884058,0.207809807,67017.06667,0.08466906
Arizona,0.807591532,0.057453944,0.338803915,West,0.8,0,0,7852021.288,599212.7857,0.076313189,7.557536232,0.253146964,399069.2819,0.050823765
Arkansas,0.783003107,0.156023252,0.094059822,South,1,1,1,3155426.131,221966.4762,0.070344374,5.490623188,0.244762707,146186.682,0.046328666
California,0.701733781,0.062491129,0.420170712,West,0,0,0,41445005.7,4615367.571,0.111361248,8.063318841,0.218228921,3354605.73,0.080941133
Colorado,0.857901659,0.047395264,0.234160632,West,0.2,0,0,6127335.041,816627.8333,0.133276184,5.612217391,0.226758046,417975.1257,0.068214831
Connecticut,0.779632568,0.126899937,0.188522103,Northeast,0,0,0,3659330.616,394924,0.10792247,7.404463768,0.256590559,320191.5342,0.087500029
Delaware,0.668456432,0.242029427,0.112310239,South,0,0,0,1031425.022,86195.57143,0.083569401,6.531014493,0.279499973,83852.0909,0.081297321
District of Columbia,0.499260601,0.408815892,0.122078332,South,0,0,0.5,739486.8602,231370.0952,0.312879251,7.229130435,0.17212503,162541.0096,0.219802431
Florida,0.756968344,0.17668993,0.292463294,South,0.6,1,1,22763884.26,1858665.19,0.081649738,6.916130435,0.282425771,1180706.468,0.051867531
Georgia,0.580261561,0.336097154,0.114337315,South,0.8,0,0,11355504.89,1018233.333,0.089668698,7.374536232,0.216717558,662726.0032,0.05836165
Hawaii,0.257028114,0.02113133,0.11800118,West,0,0,0,1520235.331,150534.3571,0.099020431,4.673507246,0.270483728,106210.7571,0.069864681
Idaho,0.92173549,0.010369685,0.146203785,West,1,1,1,1896330.579,146736.8571,0.077379366,4.556768116,0.240660861,89078.68851,0.04697424
Illinois,0.758768524,0.143418484,0.19180445,Midwest,0,0,0,12981773.08,1492793.143,0.114991468,7.88157971,0.234584045,967858.6726,0.074555199
Indiana,0.837239843,0.103126917,0.084267361,Midwest,0.8,1,1,6925034.415,575420.8333,0.083092848,6.735826087,0.236715329,411444.5311,0.059414077
Iowa,0.893585413,0.044942232,0.073774683,Midwest,0.6,1,1,3235556.237,301069.8333,0.09305041,4.561985507,0.247472457,220270.3314,0.068078041
Kansas,0.851067597,0.063226882,0.140267329,Midwest,1,1,1,3020126.371,295321.2619,0.097784406,4.909898551,0.233104315,195812.2202,0.06483577
Kentucky,0.865982718,0.087375406,0.046736796,South,1,1,1,4640547.031,356611.9762,0.07684697,6.792666667,0.246559348,235682.7257,0.050787703
Louisiana,0.624436553,0.325379075,0.06324839,South,1,1,1,4733505.886,386630.5,0.081679522,6.415666667,0.233680438,293176.7168,0.061936485
Maine,0.935768226,0.020197441,0.020143981,Northeast,0,0,1,1358620.901,119969.0238,0.08830206,5.189869565,0.314539345,72450.96667,0.053326845
Maryland,0.562275213,0.318091448,0.12558451,South,0,0,0,6320112.186,763095.7619,0.120740857,5.864144928,0.236171241,479621.2004,0.075888083
Massachusetts,0.785589663,0.097153613,0.138754326,Northeast,0,0,0,7042661.225,1007651.81,0.143078274,6.281434783,0.246662742,640509.5725,0.090947094
Michigan,0.784887312,0.140604166,0.058349757,Midwest,0.2,0,0,9910323.841,842516.1429,0.085013987,8.229985507,0.265733145,549539.5835,0.055451224
Minnesota,0.818581973,0.077423634,0.064366893,Midwest,0,0,0,5821771.457,669013.5238,0.1149158,5.268565217,0.242017522,420148.3794,0.072168477
Mississippi,0.580849225,0.383319499,0.039995339,South,1,1,1,3059406.768,192523.5,0.062928376,7.733550725,0.237695703,129378.607,0.042288789
Missouri,0.819931381,0.120190288,0.050723143,Midwest,1,1,1,6336902.119,589906.0238,0.093090601,6.072637681,0.249648803,357575.3549,0.05642747
Montana,0.881250131,0.006820986,0.045434936,West,1,1,1,1114171.377,104424.8571,0.093724232,4.701565217,0.285473163,59612.8952,0.053504242
Nebraska,0.869007711,0.055069204,0.131512645,Midwest,1,1,1,2000364.003,212714.7143,0.106338003,3.771449275,0.230630816,146714.2419,0.073343772
Nevada,0.709262999,0.109571242,0.326081957,West,0.2,0,0,3369368.071,231644.381,0.068750097,9.852710145,0.236724985,192474.2834,0.057124743
