year,state,DEMOCRAT_VOTES,LIBERTARIAN_VOTES,OTHER_VOTES,REPUBLICAN_VOTES,Winning_Party
1994,ARIZONA,442510,75493,58,600999,REPUBLICAN
1994,CALIFORNIA,3979152,179100,538812,3817025,DEMOCRAT
1994,CONNECTICUT,443793,,301038,334833,DEMOCRAT
1994,DELAWARE,84540,3386,,111074,REPUBLICAN
1994,FLORIDA,1210577,,1039,2895200,REPUBLICAN
1994,HAWAII,256189,14393,,86320,DEMOCRAT
1994,INDIANA,470799,17343,15801,1039625,REPUBLICAN
1994,MAINE,186042,,17447,308244,REPUBLICAN
1994,MARYLAND,809125,,68,559908,DEMOCRAT
1994,MASSACHUSETTS,1265997,14484,5464,894000,DEMOCRAT
1994,MICHIGAN,1300960,128393,35262,1578770,REPUBLICAN
1994,MINNESOTA,781860,,121416,869653,REPUBLICAN
1994,MISSISSIPPI,189752,,,418333,REPUBLICAN
1994,MISSOURI,633697,81264,6,1060149,REPUBLICAN
1994,MONTANA,131845,,,218542,REPUBLICAN
1994,NEBRASKA,317297,,1240,260668,DEMOCRAT
1994,NEVADA,193804,5964,24742,156020,DEMOCRAT
1994,NEW JERSEY,1033487,14042,41114,966244,DEMOCRAT
1994,NEW MEXICO,249989,,182,213025,DEMOCRAT
1994,NEW YORK,2528387,17991,1070348,1711760,DEMOCRAT
1994,NORTH DAKOTA,137157,,,99390,DEMOCRAT
1994,OHIO,1348213,,252115,1836556,REPUBLICAN
1994,OKLAHOMA,392488,,47552,542390,REPUBLICAN
1994,PENNSYLVANIA,1648481,59115,70074,1735691,REPUBLICAN
1994,RHODE ISLAND,122532,,,222856,REPUBLICAN
1994,TENNESSEE,1189094,,36935,1720224,REPUBLICAN
1994,TEXAS,1639615,36107,,2604218,REPUBLICAN
1994,UTAH,146938,,15069,357297,REPUBLICAN
1994,VERMONT,85868,,19299,106505,REPUBLICAN
1994,VIRGINIA,938376,,236874,882213,DEMOCRAT
1994,WASHINGTON,752352,,,947821,REPUBLICAN
1994,WEST VIRGINIA,290495,,,130441,DEMOCRAT
1994,WISCONSIN,912662,15439,538,636989,DEMOCRAT
