State,Region ,Urban_pct_2010,Urban_pct_2000,Urban_pct_1990,Urban_pct_1980,Urban_pct_1970,Urban_pct_1960,Urban_pct_1950,Urban_pct_1940,Urban_pct_1930,Urban_pct_1920,Urban_pct_1910
Alabama,East South Central,0.59,0.554,0.568,0.6,0.586,0.548,0.438,0.302,0.281,0.217,0.173
Alaska,Pacific,0.66,0.656,0.61,0.643,0.569,0.379,0.266,0.24,0.132,0.056,0.095
Arizona,Mountain,0.898,0.882,0.865,0.838,0.796,0.745,0.555,0.348,0.344,0.361,0.31
Arkansas,West South Central,0.562,0.525,0.52,0.516,0.5,0.428,0.33,0.222,0.206,0.166,0.129
California,Pacific,0.95,0.944,0.937,0.913,0.909,0.864,0.807,0.71,0.733,0.679,0.618
Colorado,Mountain,0.862,0.845,0.838,0.806,0.785,0.737,0.627,0.526,0.502,0.482,0.503
Connecticut,New England,0.88,0.877,0.87,0.788,0.784,0.783,0.776,0.678,0.704,0.678,0.656
Delaware,South Atlantic,0.833,0.801,0.792,0.706,0.722,0.656,0.626,0.523,0.517,0.542,0.48
Florida,South Atlantic,0.912,0.893,0.88,0.843,0.817,0.739,0.655,0.551,0.517,0.365,0.291
Georgia,South Atlantic,0.751,0.716,0.688,0.624,0.603,0.553,0.453,0.344,0.308,0.251,0.206
Hawaii,Pacific,0.919,0.915,0.905,0.865,0.831,0.765,0.69,0.625,0.537,0.361,0.307
Idaho,Mountain,0.706,0.664,0.622,0.54,0.541,0.475,0.429,0.337,0.291,0.276,0.215
Illinois,Great Lakes,0.885,0.878,0.864,0.833,0.832,0.807,0.776,0.736,0.739,0.679,0.617
Indiana,Great Lakes,0.724,0.708,0.691,0.642,0.649,0.624,0.599,0.551,0.555,0.506,0.424
Iowa,Plains,0.64,0.611,0.594,0.586,0.572,0.53,0.477,0.427,0.396,0.364,0.306
Kansas,Plains,0.742,0.714,0.695,0.667,0.661,0.61,0.521,0.419,0.388,0.348,0.291
Kentucky,East South Central,0.584,0.558,0.558,0.509,0.523,0.445,0.368,0.298,0.306,0.262,0.243
Louisiana,West South Central,0.732,0.726,0.729,0.686,0.665,0.633,0.548,0.415,0.397,0.349,0.3
Maine,New England,0.387,0.402,0.426,0.475,0.508,0.513,0.517,0.405,0.403,0.39,0.353
Maryland,South Atlantic,0.872,0.861,0.85,0.803,0.766,0.727,0.69,0.593,0.598,0.6,0.508
Massachusetts,New England,0.92,0.914,0.905,0.838,0.846,0.836,0.844,0.894,0.902,0.9,0.89
Michigan,Great Lakes,0.746,0.747,0.752,0.707,0.74,0.734,0.707,0.657,0.682,0.611,0.472
Minnesota,Great Lakes,0.733,0.709,0.69,0.669,0.665,0.622,0.545,0.498,0.49,0.441,0.41
Mississippi,East South Central,0.493,0.488,0.49,0.473,0.445,0.377,0.279,0.198,0.169,0.134,0.115
Missouri,Plains,0.704,0.694,0.696,0.681,0.701,0.666,0.615,0.518,0.512,0.466,0.423
Montana,Mountain,0.559,0.541,0.564,0.529,0.534,0.502,0.437,0.378,0.337,0.313,0.355
Nebraska,Plains,0.731,0.698,0.672,0.629,0.615,0.543,0.469,0.391,0.353,0.313,0.261
Nevada,Mountain,0.942,0.915,0.874,0.853,0.809,0.704,0.572,0.393,0.378,0.197,0.163
New Hampshire,New England,0.603,0.593,0.572,0.522,0.564,0.583,0.575,0.576,0.587,0.565,0.518
New Jersey,Middle Atlantic,0.947,0.944,0.935,0.89,0.889,0.886,0.866,0.816,0.826,0.799,0.764
New Mexico,Mountain,0.774,0.75,0.75,0.721,0.698,0.659,0.502,0.332,0.252,0.18,0.142
New York,Middle Atlantic,0.879,0.875,0.874,0.846,0.857,0.854,0.855,0.828,0.836,0.827,0.789
North Carolina,South Atlantic,0.661,0.602,0.578,0.48,0.455,0.395,0.337,0.273,0.255,0.192,0.144
North Dakota,Plains,0.599,0.559,0.534,0.488,0.443,0.352,0.266,0.206,0.166,0.136,0.11
Ohio,Great Lakes,0.779,0.774,0.775,0.733,0.753,0.734,0.702,0.668,0.678,0.638,0.559
Oklahoma,West South Central,0.662,0.653,0.652,0.673,0.68,0.629,0.51,0.376,0.343,0.265,0.192
Oregon,Pacific,0.81,0.787,0.749,0.679,0.671,0.622,0.539,0.488,0.513,0.498,0.456
Pennsylvania,Middle Atlantic,0.787,0.771,0.768,0.693,0.715,0.716,0.705,0.665,0.678,0.651,0.604
Rhode Island,New England,0.907,0.909,0.899,0.87,0.871,0.864,0.843,0.916,0.924,0.919,0.91
South Carolina,South Atlantic,0.663,0.605,0.615,0.541,0.483,0.412,0.367,0.245,0.213,0.175,0.148
South Dakota,Plains,0.567,0.519,0.503,0.464,0.446,0.393,0.332,0.246,0.189,0.16,0.131
Tennessee,East South Central,0.664,0.636,0.627,0.604,0.591,0.523,0.441,0.352,0.343,0.261,0.202
Texas,West South Central,0.847,0.825,0.812,0.796,0.797,0.75,0.627,0.454,0.41,0.324,0.241
Utah,Mountain,0.906,0.882,0.868,0.844,0.804,0.749,0.653,0.555,0.524,0.48,0.463
Vermont,New England,0.389,0.382,0.402,0.338,0.322,0.385,0.364,0.343,0.33,0.312,0.278
Virginia,South Atlantic,0.755,0.73,0.715,0.66,0.632,0.556,0.47,0.353,0.324,0.292,0.231
