STATE,YEAR,BACHELORS_DEGREE_TOT,MED_HOUSE_INC,VIOLENT_CRIME_RATE,GDP_MILLIONS,GUNS_PER_HOUSEHOLD,POPULATION,UNEMPLOYMENT_RATE
WYOMING,2000,29830,48801,1316,17191.8,0.586,493786.0,3.8
MASSACHUSETTS,2000,780520,24242,30230,289653.4,0.126,6349364.0,2.8
MARYLAND,2000,582280,22965,41663,192019.8,0.265,5296647.0,3.5
MAINE,2000,85985,87707,1397,36840.9,0.466,1274779.0,3.3
LOUISIANA,2000,267430,86345,30440,132709.5,0.505,4469035.0,5.2
KENTUCKY,2000,256210,73227,11903,114099.1,0.5529999999999999,4042193.0,4.1
KANSAS,2000,224945,76243,10470,85820.7,0.469,2688925.0,3.8
IOWA,2000,221495,72266,7796,93189.8,0.477,2926538.0,2.7
INDIANA,2000,408105,67861,21230,203356.8,0.444,6080827.0,3.0
ILLINOIS,2000,1216935,63151,81196,486766.2,0.28600000000000003,12419927.0,4.4
IDAHO,2000,89960,62963,3267,38130.6,0.609,1293957.0,4.7
MICHIGAN,2000,757970,26605,55159,351641.3,0.401,9938823.0,3.6
HAWAII,2000,95030,62529,2954,41519.9,0.124,1211497.0,4.2
FLORIDA,2000,1212200,63313,129777,488466.1,0.32,15982571.0,3.8
DISTRICT OF COLUMBIA,2000,96815,60934,8626,61033.2,,572086.0,5.7
DELAWARE,2000,71090,59373,5363,43515.9,0.35200000000000004,783559.0,3.6
CONNECTICUT,2000,362930,60320,11058,165822.4,0.202,3405650.0,2.1
COLORADO,2000,512180,58463,14367,180693.3,0.467,4302086.0,2.7
CALIFORNIA,2000,3112605,55330,210531,1366166.5,0.274,33871653.0,4.9
ARKANSAS,2000,152225,56017,11904,68740.4,0.542,2673293.0,4.2
ARIZONA,2000,408520,52019,27281,164609.9,0.4270000000000001,5130247.0,4.0
ALASKA,2000,45315,50955,3554,26815.8,0.601,626933.0,6.3
ALABAMA,2000,288815,49855,21620,120132.9,0.5379999999999999,4447207.0,4.6
GEORGIA,2000,820695,63656,41319,306019.9,0.467,8186653.0,3.5
MINNESOTA,2000,511400,27702,13813,190894.1,0.447,4919631.0,3.0
WISCONSIN,2000,430485,56567,12700,180616.3,0.466,5363757.0,3.4
MISSOURI,2000,429500,30775,27419,186785.2,0.461,5596564.0,3.4
WEST VIRGINIA,2000,91540,50015,5723,42577.4,0.541,1808193.0,5.6
WASHINGTON,2000,554105,48879,21788,238137.1,0.402,5894281.0,5.1
VIRGINIA,2000,763865,46276,19943,267618.0,0.418,7079057.0,2.3
VERMONT,2000,53695,45994,691,18312.7,0.47,608613.0,2.8
UTAH,2000,197780,49788,5711,70383.8,0.505,2233183.0,3.3
TEXAS,2000,1668865,49370,113653,738804.4,0.417,20851028.0,4.4
MISSISSIPPI,2000,152605,29472,10267,65600.1,0.536,2844754.0,5.3
SOUTH DAKOTA,2000,56950,45933,1259,22669.2,0.547,754858.0,2.5
SOUTH CAROLINA,2000,283280,42256,33225,115176.6,0.4920000000000001,4012023.0,3.7
RHODE ISLAND,2000,98475,45022,3121,34520.9,0.153,1048259.0,4.0
PENNSYLVANIA,2000,979365,42715,51584,408203.4,0.391,12280548.0,4.2
TENNESSEE,2000,401025,48647,40233,182089.1,0.489,5689427.0,3.9
OKLAHOMA,2000,218270,45512,17177,90893.0,0.5579999999999999,3450451.0,3.0
OREGON,2000,284780,45047,12000,117291.2,0.516,3421524.0,5.2
NEBRASKA,2000,149235,32117,5606,56541.1,0.486,1711230.0,2.8
NEVADA,2000,143300,32267,10474,76654.2,0.471,1998250.0,4.1
NEW HAMPSHIRE,2000,122680,32662,2167,45222.8,0.391,1235807.0,2.7
NEW JERSEY,2000,943940,35284,32298,361845.3,0.108,8414764.0,3.7
MONTANA,2000,63695,29937,2807,21878.4,0.6459999999999999,902200.0,4.8
NEW YORK,2000,1964870,39225,105111,836201.5,0.197,18977026.0,4.5
NORTH CAROLINA,2000,697740,38742,40051,277994.1,0.426,8046346.0,3.7
NORTH DAKOTA,2000,48380,41821,523,18013.5,0.55,642237.0,3.0
OHIO,2000,833140,46089,37935,391320.8,0.35100000000000003,11353336.0,4.1
NEW MEXICO,2000,110560,36426,13786,55239.7,0.438,1819017.0,5.0
NEVADA,2004,143300,48145,14379,103445.9,0.392,2346222.0,4.4
NEW HAMPSHIRE,2004,122680,49174,2202,54125.9,0.315,1290121.0,3.8
NEW JERSEY,2004,943940,50728,30943,422633.4,0.108,8634561.0,4.9
NEW MEXICO,2004,110560,49595,13081,69696.5,0.391,1903808.0,5.6
NEW YORK,2004,1964870,52504,84914,952281.8,0.174,19171567.0,5.8
NORTH CAROLINA,2004,697740,55616,38244,327275.9,0.383,8553152.0,5.9
NORTH DAKOTA,2004,48380,52196,558,23151.9,0.546,644705.0,3.4
OHIO,2004,833140,57623,38787,445410.3,0.328,11452251.0,6.3
OKLAHOMA,2004,218270,53774,17635,112872.2,0.495,3525233.0,4.7
OREGON,2004,284780,56870,10724,136304.4,0.407,3569463.0,7.4
WISCONSIN,2004,430485,29340,11548,215016.8,0.416,5514026.0,5.0
RHODE ISLAND,2004,98475,59374,2673,43218.3,0.116,1074579.0,5.3
SOUTH CAROLINA,2004,283280,59583,33160,135143.4,0.436,4210921.0,7.4
SOUTH DAKOTA,2004,56950,59619,1319,29030.5,0.5670000000000001,770396.0,3.6
TENNESSEE,2004,401025,67575,41113,217939.2,0.472,5910809.0,5.3
TEXAS,2004,1668865,73071,121554,907476.2,0.368,22394023.0,6.0
UTAH,2004,197780,25776,5647,85783.4,0.442,2401580.0,5.0
VERMONT,2004,53695,23274,713,22657.8,0.442,619920.0,3.7
VIRGINIA,2004,763865,26217,20608,332668.5,0.384,7475575.0,4.1
WASHINGTON,2004,554105,26878,21330,269983.0,0.369,6178645.0,6.3
WEST VIRGINIA,2004,91540,27983,5110,49280.5,0.556,1816438.0,5.8
NEBRASKA,2004,149235,47923,5393,70320.2,0.466,1749370.0,3.9
PENNSYLVANIA,2004,979365,60474,50998,480811.1,0.35600000000000004,12410722.0,5.4
MONTANA,2004,63695,43786,2723,27894.9,0.62,930009.0,4.5
ILLINOIS,2004,1216935,29549,69365,561037.0,0.226,12589773.0,6.2
MISSISSIPPI,2004,152605,42796,8568,77297.6,0.53,2889010.0,6.1
WYOMING,2004,29830,32023,1163,23220.1,0.607,509106.0,3.8
ALASKA,2004,45315,57075,4159,34987.9,0.58,659286.0,7.4
ARIZONA,2004,408520,57407,28952,205390.5,0.368,5652404.0,5.0
ARKANSAS,2004,152225,59087,13814,84557.0,0.544,2749686.0,5.6
CALIFORNIA,2004,3112605,57679,189175,1632428.7,0.203,35574576.0,6.2
COLORADO,2004,512180,60195,17121,204374.6,0.411,4575013.0,5.6
CONNECTICUT,2004,362930,21397,10113,198282.4,0.166,3496094.0,5.1
DELAWARE,2004,71090,21799,5105,51337.7,0.331,830803.0,4.3
DISTRICT OF COLUMBIA,2004,96815,21772,7590,80557.4,,567754.0,8.1
FLORIDA,2004,1212200,23268,123754,636087.5,0.234,17415318.0,3.8
GEORGIA,2004,820695,25159,40217,364229.0,0.43,8769252.0,5.1
HAWAII,2004,95030,26319,3213,53761.1,0.2,1273569.0,3.3
IDAHO,2004,89960,27482,3452,43865.9,0.557,1391802.0,4.9
INDIANA,2004,408105,30048,20294,236921.3,0.391,6233007.0,5.4
IOWA,2004,221495,31008,8499,116834.4,0.423,2953635.0,4.5
KANSAS,2004,224945,31794,10330,98013.9,0.428,2734373.0,5.5
KENTUCKY,2004,256210,32929,10152,134190.8,0.52,4146101.0,5.5
LOUISIANA,2004,267430,34014,28844,169836.2,0.491,4552238.0,5.7
MAINE,2004,85985,34692,1364,44525.7,0.411,1313688.0,4.7
MARYLAND,2004,582280,36413,38961,246682.0,0.236,5546935.0,4.6
MASSACHUSETTS,2004,780520,38626,29489,330936.7,0.104,6412281.0,5.1
MICHIGAN,2004,757970,41750,49737,381443.4,0.384,10055315.0,7.0
MINNESOTA,2004,511400,43611,13751,230245.2,0.406,5087713.0,4.6
MISSOURI,2004,429500,43974,28226,215413.2,0.451,5747741.0,5.9
ALABAMA,2004,288815,51395,19324,146886.7,0.516,4530729.0,5.6
ALABAMA,2008,296950,31051,21110,172677.2,0.503,4718206.0,5.8
WISCONSIN,2008,440265,37279,15507,244634.3,0.421,5640996.0,4.9
NEBRASKA,2008,146230,62447,5570,85661.3,0.34,1796378.0,3.2
NEVADA,2008,163620,67274,18973,129095.5,0.371,2653630.0,6.9
NEW HAMPSHIRE,2008,124820,71855,2054,60865.3,0.368,1315906.0,3.7
NEW JERSEY,2008,935585,20569,28351,494855.4,0.08800000000000001,8711090.0,5.4
NEW MEXICO,2008,114535,21451,12967,83691.3,0.35700000000000004,2010662.0,4.3
NEW YORK,2008,1993535,21861,77546,1101636.8,0.142,19212436.0,5.4
NORTH CAROLINA,2008,729805,22760,43125,413064.9,0.345,9309449.0,6.2
NORTH DAKOTA,2008,53740,24415,1441,31852.1,0.586,657569.0,3.1
OHIO,2008,846255,26406,40436,491609.1,0.365,11515391.0,6.6
OKLAHOMA,2008,221670,26329,19359,159761.3,0.508,3668976.0,3.6
OREGON,2008,308690,26853,9909,165050.8,0.436,3768748.0,6.2
PENNSYLVANIA,2008,1000910,27771,51044,581527.3,0.384,12612285.0,5.3
RHODE ISLAND,2008,93440,28820,2656,47078.4,0.092,1055003.0,7.6
SOUTH CAROLINA,2008,298340,30114,32746,161797.9,0.42,4528996.0,7.3
SOUTH DAKOTA,2008,57425,31979,2227,36475.6,0.51,799124.0,3.1
TENNESSEE,2008,432370,35601,44913,251549.8,0.495,6247411.0,6.5
TEXAS,2008,1797530,35840,123585,1236361.8,0.3670000000000001,24309039.0,4.9
UTAH,2008,219610,35838,6165,115885.0,0.355,2663029.0,3.3
VERMONT,2008,51830,37254,854,25667.8,0.4,624151.0,4.5
VIRGINIA,2008,792205,38317,20031,400305.5,0.3720000000000001,7833496.0,4.3
WASHINGTON,2008,576630,38162,21888,355596.6,0.38,6562231.0,5.2
MONTANA,2008,68490,61543,3013,36814.5,0.69,976415.0,4.7
MISSOURI,2008,443525,61437,29701,251691.6,0.487,5923916.0,6.2
MISSISSIPPI,2008,155485,58005,8942,96921.1,0.4970000000000001,2947806.0,6.7
MINNESOTA,2008,519390,54310,13853,264866.4,0.386,5247018.0,5.4
