State,Year,Population
Alabama,2000,4447207
Alaska,2000,626933
Arizona,2000,5130247
Arkansas,2000,2673293
California,2000,33871653
Colorado,2000,4302086
Connecticut,2000,3405650
Delaware,2000,783559
District of Columbia,2000,572086
Florida,2000,15982571
Georgia,2000,8186653
Hawaii,2000,1211497
Idaho,2000,1293957
Illinois,2000,12419927
Indiana,2000,6080827
Iowa,2000,2926538
Kansas,2000,2688925
Kentucky,2000,4042193
Louisiana,2000,4469035
Maine,2000,1274779
Maryland,2000,5296647
Massachusetts,2000,6349364
Michigan,2000,9938823
Minnesota,2000,4919631
Mississippi,2000,2844754
Missouri,2000,5596564
Montana,2000,902200
Nebraska,2000,1711230
Nevada,2000,1998250
New Hampshire,2000,1235807
New Jersey,2000,8414764
New Mexico,2000,1819017
New York,2000,18977026
North Carolina,2000,8046346
North Dakota,2000,642237
Ohio,2000,11353336
Oklahoma,2000,3450451
Oregon,2000,3421524
Pennsylvania,2000,12280548
Rhode Island,2000,1048259
South Carolina,2000,4012023
South Dakota,2000,754858
Tennessee,2000,5689427
Texas,2000,20851028
Utah,2000,2233183
Vermont,2000,608613
Virginia,2000,7079057
Washington,2000,5894281
West Virginia,2000,1808193
Wisconsin,2000,5363757
Wyoming,2000,493786
Alabama,2004,4530729
Alaska,2004,659286
Arizona,2004,5652404
Arkansas,2004,2749686
California,2004,35574576
Colorado,2004,4575013
Connecticut,2004,3496094
Delaware,2004,830803
District of Columbia,2004,567754
Florida,2004,17415318
Georgia,2004,8769252
Hawaii,2004,1273569
Idaho,2004,1391802
Illinois,2004,12589773
Indiana,2004,6233007
Iowa,2004,2953635
Kansas,2004,2734373
Kentucky,2004,4146101
Louisiana,2004,4552238
Maine,2004,1313688
Maryland,2004,5546935
Massachusetts,2004,6412281
Michigan,2004,10055315
Minnesota,2004,5087713
Mississippi,2004,2889010
Missouri,2004,5747741
Montana,2004,930009
Nebraska,2004,1749370
Nevada,2004,2346222
New Hampshire,2004,1290121
New Jersey,2004,8634561
New Mexico,2004,1903808
New York,2004,19171567
North Carolina,2004,8553152
North Dakota,2004,644705
Ohio,2004,11452251
Oklahoma,2004,3525233
Oregon,2004,3569463
Pennsylvania,2004,12410722
Rhode Island,2004,1074579
South Carolina,2004,4210921
South Dakota,2004,770396
Tennessee,2004,5910809
Texas,2004,22394023
Utah,2004,2401580
Vermont,2004,619920
Virginia,2004,7475575
Washington,2004,6178645
West Virginia,2004,1816438
Wisconsin,2004,5514026
Wyoming,2004,509106
Alabama,2008,4718206
Alaska,2008,687455
Arizona,2008,6280362
Arkansas,2008,2874554
California,2008,36604337
Colorado,2008,4889730
Connecticut,2008,3545579
Delaware,2008,883874
District of Columbia,2008,580236
Florida,2008,18527305
Georgia,2008,9504843
Hawaii,2008,1332213
Idaho,2008,1534320
Illinois,2008,12747038
Indiana,2008,6424806
Iowa,2008,3016734
Kansas,2008,2808076
Kentucky,2008,4289878
Louisiana,2008,4435586
Maine,2008,1330509
Maryland,2008,5684965
Massachusetts,2008,6468967
Michigan,2008,9946889
Minnesota,2008,5247018
Mississippi,2008,2947806
Missouri,2008,5923916
Montana,2008,976415
Nebraska,2008,1796378
Nevada,2008,2653630
New Hampshire,2008,1315906
New Jersey,2008,8711090
New Mexico,2008,2010662
New York,2008,19212436
North Carolina,2008,9309449
North Dakota,2008,657569
Ohio,2008,11515391
Oklahoma,2008,3668976
Oregon,2008,3768748
Pennsylvania,2008,12612285
Rhode Island,2008,1055003
South Carolina,2008,4528996
South Dakota,2008,799124
Tennessee,2008,6247411
Texas,2008,24309039
Utah,2008,2663029
Vermont,2008,624151
Virginia,2008,7833496
Washington,2008,6562231
West Virginia,2008,1840310
Wisconsin,2008,5640996
Wyoming,2008,546043
Alabama,2012,4815588
Alaska,2012,730443
Arizona,2012,6554978
Arkansas,2012,2952164
California,2012,37948800
Colorado,2012,5192647
Connecticut,2012,3594547
Delaware,2012,915179
District of Columbia,2012,634924
Florida,2012,19297822
Georgia,2012,9901430
Hawaii,2012,1394804
Idaho,2012,1595324
Illinois,2012,12882510
Indiana,2012,6537703
Iowa,2012,3076190
Kansas,2012,2885257
Kentucky,2012,4386346
Louisiana,2012,4600972
Maine,2012,1327729
Maryland,2012,5886992
Massachusetts,2012,6663005
Michigan,2012,9897145
Minnesota,2012,5376643
Mississippi,2012,2983816
Missouri,2012,6024367
Montana,2012,1003783
Nebraska,2012,1853303
Nevada,2012,2743996
New Hampshire,2012,1324232
New Jersey,2012,8844942
New Mexico,2012,2087309
New York,2012,19572932
North Carolina,2012,9749476
North Dakota,2012,701176
Ohio,2012,11548923
Oklahoma,2012,3818814
Oregon,2012,3899001
Pennsylvania,2012,12767118
Rhode Island,2012,1054621
South Carolina,2012,4717354
South Dakota,2012,833566
Tennessee,2012,6453898
Texas,2012,26084481
Utah,2012,2853375
Vermont,2012,626090
Virginia,2012,8185080
Washington,2012,6897058
West Virginia,2012,1856872
Wisconsin,2012,5719960
Wyoming,2012,576305
Alabama,2016,4863525
Alaska,2016,741456
Arizona,2016,6941072
Arkansas,2016,2989918
California,2016,39167117
Colorado,2016,5539215
Connecticut,2016,3578141
Delaware,2016,948921
District of Columbia,2016,685815
Florida,2016,20613477
Georgia,2016,10301890
Hawaii,2016,1427559
Idaho,2016,1682380
Illinois,2016,12820527
Indiana,2016,6634304
Iowa,2016,3131371
Kansas,2016,2910844
Kentucky,2016,4438182
Louisiana,2016,4678135
Maine,2016,1331317
Maryland,2016,6003323
Massachusetts,2016,6823608
Michigan,2016,9950571
Minnesota,2016,5522744
Mississippi,2016,2987938
Missouri,2016,6087135
Montana,2016,1040859
Nebraska,2016,1905616
Nevada,2016,2917563
New Hampshire,2016,1342307
New Jersey,2016,8870827
New Mexico,2016,2091630
New York,2016,19633428
North Carolina,2016,10154788
North Dakota,2016,754434
Ohio,2016,11634370
Oklahoma,2016,3926331
Oregon,2016,4089976
Pennsylvania,2016,12782275
Rhode Island,2016,1056770
South Carolina,2016,4957968
South Dakota,2016,862996
Tennessee,2016,6646010
Texas,2016,27914410
Utah,2016,3041868
Vermont,2016,623657
Virginia,2016,8410106
Washington,2016,7294771
West Virginia,2016,1831023
Wisconsin,2016,5772628
Wyoming,2016,584215
Alabama,2020,4985739.395
Alaska,2020,765458.7105
Arizona,2020,7419139.195
Arkansas,2020,3078075.295
California,2020,40244067.09
Colorado,2020,5821226.905
Connecticut,2020,3625837.963
Delaware,2020,991705.0158
District of Columbia,2020,706158.9263
Florida,2020,21671188.13
Georgia,2020,10850150.38
Hawaii,2020,1471432.895
Idaho,2020,1797730.916
Illinois,2020,12907996.02
Indiana,2020,6789826.632
Iowa,2020,3181238.847
Kansas,2020,2965599.468
Kentucky,2020,4545070.195
Louisiana,2020,4682881.932
Maine,2020,1348332.832
Maryland,2020,6161710.3
Massachusetts,2020,6917560.942
Michigan,2020,9925566.105
Minnesota,2020,5674929.4
Mississippi,2020,3026338.874
Missouri,2020,6222175.589
Montana,2020,1078090.653
Nebraska,2020,1950771.726
Nevada,2020,3162265.968
New Hampshire,2020,1367809.289
New Jersey,2020,8982455.032
New Mexico,2020,2171343.495
New York,2020,19715335.2
North Carolina,2020,10721159.85
North Dakota,2020,771057.1526
Ohio,2020,11702209.41
Oklahoma,2020,4034317.558
Oregon,2020,4244718.111
Pennsylvania,2020,12936022.13
Rhode Island,2020,1054667.363
South Carolina,2020,5205894.616
South Dakota,2020,891247.5579
Tennessee,2020,6912745.326
Texas,2020,29572221.05
Utah,2020,3259605.595
Vermont,2020,628814.7263
Virginia,2020,8739450.437
Washington,2020,7649055.337
West Virginia,2020,1836829.358
Wisconsin,2020,5884731.163
Wyoming,2020,606248.9105
